2025-04-11 21:47:35.278 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.2.5.Final
2025-04-11 21:47:35.312 [restartedMain] INFO  com.luotao.job.JobApplication:55 - Starting JobApplication using Java 1.8.0_31 on T with PID 11456 (D:\workspace\myBlog\job\job-app\target\classes started by T in D:\workspace\myBlog\job)
2025-04-11 21:47:35.314 [restartedMain] INFO  com.luotao.job.JobApplication:631 - No active profile set, falling back to 1 default profile: "default"
2025-04-11 21:47:35.419 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-11 21:47:35.420 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-11 21:47:37.679 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8001 (http)
2025-04-11 21:47:37.682 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-04-11 21:47:37.682 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-04-11 21:47:37.683 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-04-11 21:47:37.691 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-04-11 21:47:37.711 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8001"]
2025-04-11 21:47:37.712 [restartedMain] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-04-11 21:47:37.713 [restartedMain] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2025-04-11 21:47:37.924 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-04-11 21:47:37.925 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2503 ms
2025-04-11 21:47:40.149 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer:59 - LiveReload server is running on port 35729
2025-04-11 21:47:40.403 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8001"]
2025-04-11 21:47:40.436 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 8001 (http) with context path ''
2025-04-11 21:47:41.297 [restartedMain] INFO  com.luotao.job.JobApplication:61 - Started JobApplication in 6.761 seconds (JVM running for 8.021)
